"Notes"	"County"	"County Code"	Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age	Average OE Gestational Age	Standard Deviation for Average OE Gestational Age
	"Berkshire County, MA"	"25003"	12793	3290.417	596.029	28.382	5.988	38.844	2.586	38.813	2.118
	"Bristol County, MA"	"25005"	65557	3285.726	589.199	28.724	5.815	38.776	2.453	38.678	2.086
	"Essex County, MA"	"25009"	76979	3328.527	595.576	30.343	5.781	38.790	2.388	38.700	2.078
	"Hampden County, MA"	"25013"	60785	3284.997	610.926	27.571	6.065	38.881	2.605	38.667	2.260
	"Hampshire County, MA"	"25015"	12526	3396.792	600.172	30.657	5.661	39.058	2.338	39.014	2.100
	"Middlesex County, MA"	"25017"	191582	3321.996	582.846	31.664	5.271	38.829	2.257	38.774	2.000
	"Norfolk County, MA"	"25021"	83342	3334.299	585.019	31.992	5.025	38.728	2.223	38.732	2.003
	"Plymouth County, MA"	"25023"	60655	3352.387	601.787	30.352	5.722	38.778	2.383	38.726	2.077
	"Suffolk County, MA"	"25025"	88097	3256.647	605.751	30.486	5.858	38.677	2.497	38.713	2.249
	"Worcester County, MA"	"25027"	98275	3317.645	596.414	29.347	5.731	38.858	2.385	38.728	2.130
	"Unidentified Counties, MA"	"25999"	9832	3390.802	592.116	29.719	5.904	39.072	2.324	39.069	2.049
	"Allegan County, MI"	"26005"	16256	3372.690	599.819	27.554	5.485	38.788	2.446	38.620	2.153
	"Bay County, MI"	"26017"	12756	3337.029	608.732	27.393	5.551	38.843	2.582	38.826	2.115
	"Berrien County, MI"	"26021"	22096	3290.782	621.249	26.981	5.842	38.782	2.744	38.613	2.275
	"Calhoun County, MI"	"26025"	19837	3284.575	614.405	26.357	5.621	38.817	2.752	38.697	2.307
	"Eaton County, MI"	"26045"	13312	3333.244	585.348	27.758	5.510	38.772	2.424	38.677	2.103
	"Genesee County, MI"	"26049"	60298	3208.179	620.100	26.655	5.764	38.430	2.863	38.242	2.349
	"Ingham County, MI"	"26065"	38539	3284.695	609.549	27.833	5.752	38.663	2.624	38.592	2.230
	"Jackson County, MI"	"26075"	21638	3295.243	609.543	26.594	5.578	38.808	2.610	38.567	2.176
	"Kalamazoo County, MI"	"26077"	36465	3315.189	615.280	27.803	5.700	38.807	2.624	38.696	2.284
	"Kent County, MI"	"26081"	101660	3325.082	606.521	28.061	5.562	38.749	2.558	38.571	2.191
	"Livingston County, MI"	"26093"	20491	3379.743	585.935	29.772	5.392	38.885	2.418	38.638	2.105
	"Macomb County, MI"	"26099"	109891	3261.186	610.049	28.851	5.582	38.552	2.579	38.413	2.237
	"Monroe County, MI"	"26115"	18715	3318.754	579.486	27.624	5.589	38.638	2.346	38.453	1.996
	"Muskegon County, MI"	"26121"	25121	3241.600	610.992	26.310	5.525	38.589	2.726	38.357	2.315
	"Oakland County, MI"	"26125"	159124	3285.532	606.734	29.933	5.597	38.655	2.570	38.495	2.237
	"Ottawa County, MI"	"26139"	39006	3389.892	585.019	28.336	5.215	38.790	2.322	38.620	2.017
	"Saginaw County, MI"	"26145"	26437	3235.190	629.668	26.744	5.753	38.576	2.704	38.746	2.325
	"St. Clair County, MI"	"26147"	19316	3299.892	586.368	27.257	5.645	38.615	2.538	38.441	2.031
	"Washtenaw County, MI"	"26161"	43398	3307.063	595.448	29.981	5.676	38.852	2.486	38.650	2.201
	"Wayne County, MI"	"26163"	282571	3185.855	633.785	27.263	6.067	38.426	2.877	38.346	2.499
	"Unidentified Counties, MI"	"26999"	262275	3344.052	589.738	27.098	5.606	38.869	2.483	38.682	2.037
	"Anoka County, MN"	"27003"	49665	3366.584	591.725	29.221	5.366	38.818	2.417	38.696	2.076
	"Dakota County, MN"	"27037"	61372	3370.069	588.842	29.739	5.266	38.859	2.369	38.683	2.059
	"Hennepin County, MN"	"27053"	190498	3321.018	599.604	29.867	5.620	38.840	2.508	38.718	2.179
	"Olmsted County, MN"	"27109"	25727	3375.044	588.788	29.273	5.166	38.998	2.390	38.945	2.080
	"Ramsey County, MN"	"27123"	88885	3301.932	595.002	28.643	5.873	38.907	2.584	38.790	2.177
	"St. Louis County, MN"	"27137"	24036	3381.643	593.730	28.029	5.514	38.893	2.402	38.725	2.054
	"Scott County, MN"	"27139"	8948	3394.148	585.746	30.525	4.886	38.919	2.308	38.717	1.962
	"Stearns County, MN"	"27145"	23427	3364.128	574.829	28.396	5.263	38.647	2.350	38.591	2.080
	"Washington County, MN"	"27163"	33142	3371.625	573.368	30.036	5.180	38.879	2.326	38.723	1.974
	"Wright County, MN"	"27171"	8716	3415.313	579.823	29.720	5.021	38.787	2.364	38.580	1.912
	"Unidentified Counties, MN"	"27999"	299608	3387.288	581.477	28.111	5.378	38.795	2.338	38.679	2.002
	"DeSoto County, MS"	"28033"	25350	3259.073	597.450	27.378	5.754	38.512	2.431	38.364	2.063
	"Harrison County, MS"	"28047"	32170	3183.910	607.429	26.364	5.615	38.357	2.785	38.196	2.263
	"Hinds County, MS"	"28049"	40601	3019.584	628.270	25.992	5.791	37.763	2.975	37.744	2.501
	"Jackson County, MS"	"28059"	19995	3170.367	595.507	26.283	5.731	38.285	2.737	38.189	2.244
	"Rankin County, MS"	"28121"	22416	3199.537	582.896	27.513	5.567	38.044	2.486	37.915	2.029
	"Unidentified Counties, MS"	"28999"	332628	3119.956	614.228	25.647	5.637	38.106	2.831	37.982	2.321
	"Boone County, MO"	"29019"	24833	3294.617	591.725	28.323	5.465	38.546	2.365	38.558	2.088
	"Clay County, MO"	"29047"	36619	3327.419	571.859	28.278	5.483	38.686	2.375	38.601	1.999
	"Franklin County, MO"	"29071"	6066	3329.681	611.050	27.570	5.348	38.705	2.552	38.459	2.109
	"Greene County, MO"	"29077"	41621	3322.099	590.227	26.937	5.494	38.740	2.472	38.528	2.107
	"Jackson County, MO"	"29095"	113062	3255.268	607.670	27.196	5.809	38.567	2.570	38.535	2.236
	"Jasper County, MO"	"29097"	18959	3313.025	571.326	25.835	5.423	38.712	2.431	38.476	1.948
	"Jefferson County, MO"	"29099"	31860	3311.405	579.224	27.656	5.433	38.600	2.374	38.428	2.001
	"St. Charles County, MO"	"29183"	53759	3338.515	579.744	29.318	5.233	38.656	2.320	38.436	1.960
	"St. Louis County, MO"	"29189"	137703	3247.073	610.109	28.857	5.801	38.500	2.599	38.370	2.255
	"St. Louis city, MO"	"29510"	56169	3142.733	639.633	27.086	5.983	38.313	2.969	38.243	2.566
	"Unidentified Counties, MO"	"29999"	378113	3290.610	586.645	26.390	5.552	38.649	2.476	38.463	2.038
	"Missoula County, MT"	"30063"	5738	3306.830	573.921	29.164	5.464	38.902	2.391	38.694	1.914
	"Yellowstone County, MT"	"30111"	22997	3279.629	569.557	27.539	5.554	38.673	2.409	38.547	2.027
	"Unidentified Counties, MT"	"30999"	113639	3293.027	569.345	27.528	5.736	38.714	2.417	38.602	2.029
	"Douglas County, NE"	"31055"	97642	3290.408	594.080	28.370	5.666	38.536	2.473	38.378	2.096
	"Lancaster County, NE"	"31109"	47652	3328.171	573.495	28.455	5.475	38.601	2.311	38.552	1.999
	"Sarpy County, NE"	"31153"	30006	3355.920	572.540	28.730	5.258	38.638	2.285	38.444	1.947
	"Unidentified Counties, NE"	"31999"	127863	3334.346	570.800	27.380	5.466	38.696	2.376	38.608	2.011
	"Clark County, NV"	"32003"	304474	3230.666	573.019	28.029	6.041	38.478	2.556	38.366	2.079
	"Washoe County, NV"	"32031"	61937	3234.190	564.306	27.942	5.997	38.729	2.545	38.476	2.089
	"Unidentified Counties, NV"	"32999"	42639	3240.027	556.932	26.810	5.828	38.710	2.464	38.508	1.988
	"Hillsborough County, NH"	"33011"	49914	3352.275	595.281	29.208	5.616	38.944	2.324	38.797	2.070
	"Merrimack County, NH"	"33013"	16382	3361.950	593.803	28.863	5.602	39.002	2.355	38.833	2.060
	"Rockingham County, NH"	"33015"	30988	3368.588	578.738	30.370	5.430	38.899	2.254	38.773	2.011
	"Strafford County, NH"	"33017"	14506	3352.279	586.457	28.661	5.617	38.987	2.413	38.777	2.064
	"Unidentified Counties, NH"	"33999"	35833	3363.049	587.241	28.061	5.708	39.052	2.335	38.884	2.033
	"Atlantic County, NJ"	"34001"	34690	3250.666	614.834	28.297	5.972	38.621	2.623	38.569	2.300
	"Bergen County, NJ"	"34003"	93180	3256.228	562.274	32.079	5.063	38.618	2.306	38.451	1.945
	"Burlington County, NJ"	"34005"	52801	3287.806	611.894	29.867	5.681	38.678	2.557	38.506	2.185
	"Camden County, NJ"	"34007"	72855	3248.420	627.980	28.648	6.016	38.639	2.776	38.534	2.381
	"Cape May County, NJ"	"34009"	6424	3327.238	584.278	27.592	5.964	38.864	2.586	38.750	2.094
	"Cumberland County, NJ"	"34011"	24720	3217.139	613.219	26.524	5.882	38.562	2.887	38.386	2.386
	"Essex County, NJ"	"34013"	103929	3180.151	629.676	29.488	6.380	38.455	2.848	38.297	2.437
	"Gloucester County, NJ"	"34015"	36077	3309.510	611.675	29.715	5.530	38.749	2.608	38.586	2.202
	"Hudson County, NJ"	"34017"	89224	3202.228	576.358	30.352	5.625	38.624	2.476	38.457	2.101
	"Hunterdon County, NJ"	"34019"	10854	3333.503	573.535	32.293	5.210	38.721	2.247	38.632	2.020
	"Mercer County, NJ"	"34021"	42636	3227.692	618.286	29.769	6.049	38.614	2.760	38.454	2.388
	"Middlesex County, NJ"	"34023"	99769	3237.371	577.251	30.347	5.304	38.665	2.359	38.487	2.051
	"Monmouth County, NJ"	"34025"	70517	3298.369	582.345	30.882	5.671	38.696	2.437	38.532	2.036
	"Morris County, NJ"	"34027"	49906	3304.695	574.724	32.275	4.935	38.725	2.284	38.553	1.985
	"Ocean County, NJ"	"34029"	96861	3339.311	556.747	28.909	5.663	39.073	2.351	38.852	1.930
	"Passaic County, NJ"	"34031"	60067	3218.902	581.371	29.097	6.127	38.492	2.543	38.336	2.079
	"Somerset County, NJ"	"34035"	34960	3259.709	587.195	31.812	5.225	38.614	2.354	38.462	2.101
	"Sussex County, NJ"	"34037"	15044	3347.038	577.734	30.718	5.453	38.805	2.353	38.603	2.011
	"Union County, NJ"	"34039"	58503	3250.860	607.991	30.642	5.869	38.622	2.599	38.467	2.256
	"Warren County, NJ"	"34041"	11617	3312.730	595.904	30.005	5.742	38.724	2.391	38.615	2.097
	"Unidentified Counties, NJ"	"34999"	12678	3307.949	604.080	27.900	5.810	38.798	2.578	38.638	2.136
	"Bernalillo County, NM"	"35001"	62875	3215.662	562.613	28.236	5.985	38.681	2.365	38.531	2.085
	"Dona Ana County, NM"	"35013"	27387	3234.427	558.467	26.341	6.010	38.700	2.386	38.587	2.047
	"Sandoval County, NM"	"35043"	5002	3188.903	565.618	28.684	5.778	38.539	2.332	38.383	2.066
	"San Juan County, NM"	"35045"	19321	3254.621	552.847	26.335	5.854	38.637	2.298	38.745	1.989
	"Santa Fe County, NM"	"35049"	9502	3170.070	550.395	28.973	6.559	38.893	2.391	38.884	2.011
	"Unidentified Counties, NM"	"35999"	90602	3206.658	568.547	26.483	5.927	38.618	2.503	38.501	2.104
	"Albany County, NY"	"36001"	35830	3301.260	626.699	29.316	5.804	38.710	2.592	38.612	2.362
	"Bronx County, NY"	"36005"	172951	3177.872	607.837	28.316	6.319	38.524	2.582	38.529	2.300
	"Broome County, NY"	"36007"	24071	3306.538	602.353	27.835	5.718	38.735	2.476	38.532	2.121
	"Chautauqua County, NY"	"36013"	16429	3285.559	591.377	26.529	5.684	38.752	2.597	38.557	2.119
	"Dutchess County, NY"	"36027"	30778	3327.596	605.546	29.891	5.876	38.832	2.476	38.710	2.187
	"Erie County, NY"	"36029"	117298	3277.104	611.366	28.556	5.851	38.640	2.620	38.501	2.294
	"Jefferson County, NY"	"36045"	23781	3345.763	600.245	26.378	5.222	38.897	2.535	38.685	2.178
	"Kings County, NY"	"36047"	439502	3233.051	572.683	29.322	6.099	38.734	2.387	38.668	2.112
	"Monroe County, NY"	"36055"	98348	3292.079	621.930	28.614	5.897	38.840	2.643	38.634	2.312
	"Nassau County, NY"	"36059"	133928	3271.328	587.214	31.913	5.235	38.683	2.351	38.533	2.061
	"New York County, NY"	"36061"	176257	3223.322	563.784	32.111	5.799	38.714	2.361	38.686	2.018
	"Niagara County, NY"	"36063"	25921	3284.950	605.790	27.837	5.723	38.601	2.594	38.460	2.194
	"Oneida County, NY"	"36065"	30156	3308.870	607.032	27.565	5.851	38.764	2.676	38.662	2.211
	"Onondaga County, NY"	"36067"	62976	3317.053	619.957	28.368	5.915	38.883	2.560	38.702	2.222
	"Ontario County, NY"	"36069"	12308	3367.765	594.911	28.688	5.671	38.956	2.510	38.688	2.099
	"Orange County, NY"	"36071"	55107	3312.343	586.477	29.145	6.112	38.924	2.472	38.753	2.114
	"Oswego County, NY"	"36075"	15602	3351.673	595.692	26.827	5.737	39.054	2.591	38.794	2.094
	"Queens County, NY"	"36081"	283409	3210.519	572.303	29.990	5.718	38.689	2.390	38.595	2.079
	"Rensselaer County, NY"	"36083"	20089	3334.667	616.460	28.444	5.763	38.864	2.613	38.702	2.260
	"Richmond County, NY"	"36085"	60918	3260.647	587.873	30.084	5.701	38.742	2.443	38.574	2.106
	"Rockland County, NY"	"36087"	49885	3328.028	566.789	30.027	6.072	39.110	2.313	38.980	2.005
	"St. Lawrence County, NY"	"36089"	13308	3333.623	598.069	26.920	5.554	38.927	2.570	38.653	2.131
	"Saratoga County, NY"	"36091"	26194	3371.166	594.969	29.969	5.575	38.918	2.426	38.726	2.084
	"Schenectady County, NY"	"36093"	21452	3294.336	627.316	28.608	5.887	38.699	2.581	38.628	2.328
	"Suffolk County, NY"	"36103"	145867	3290.732	589.596	30.989	5.629	38.629	2.420	38.481	2.074
	"Tompkins County, NY"	"36109"	3828	3350.766	576.125	30.178	5.684	39.025	2.257	38.849	1.950
	"Ulster County, NY"	"36111"	18284	3354.808	595.249	29.139	5.998	39.010	2.423	38.850	2.053
	"Westchester County, NY"	"36119"	101705	3252.537	590.021	31.539	5.827	38.554	2.457	38.509	2.127
	"Unidentified Counties, NY"	"36999"	228350	3344.460	601.235	27.670	5.783	38.925	2.520	38.711	2.099
	"Alamance County, NC"	"37001"	21127	3250.193	624.267	27.292	5.981	38.632	2.844	38.419	2.337
	"Brunswick County, NC"	"37019"	4991	3268.121	619.616	28.005	5.800	38.664	2.874	38.510	2.301
	"Buncombe County, NC"	"37021"	30118	3283.818	593.735	28.421	6.035	38.674	2.552	38.547	2.154
	"Cabarrus County, NC"	"37025"	28616	3257.106	602.681	28.197	5.877	38.591	2.622	38.513	2.108
	"Catawba County, NC"	"37035"	21055	3275.094	612.754	26.884	5.874	38.792	2.780	38.597	2.253
	"Craven County, NC"	"37049"	6954	3276.518	606.556	26.854	5.486	38.782	2.687	38.613	2.213
	"Cumberland County, NC"	"37051"	65624	3231.639	639.082	26.265	5.445	38.696	3.022	38.365	2.481
	"Davidson County, NC"	"37057"	21015	3238.708	616.296	26.655	5.809	38.675	2.780	38.252	2.191
	"Durham County, NC"	"37063"	46923	3254.927	624.565	29.064	5.903	38.676	2.827	38.537	2.371
	"Forsyth County, NC"	"37067"	53244	3215.800	641.651	27.737	5.989	38.708	2.980	38.336	2.457
	"Gaston County, NC"	"37071"	30159	3232.067	624.055	26.786	5.815	38.739	2.910	38.583	2.357
	"Guilford County, NC"	"37081"	71567	3222.711	626.122	28.057	5.997	38.512	2.717	38.414	2.413
	"Harnett County, NC"	"37085"	9025	3271.300	612.593	27.925	5.473	38.713	2.901	38.409	2.251
	"Henderson County, NC"	"37089"	5254	3276.700	588.451	28.100	5.790	38.684	2.729	38.485	2.112
	"Iredell County, NC"	"37097"	21509	3269.131	609.663	27.723	5.944	38.675	2.692	38.484	2.200
	"Johnston County, NC"	"37101"	26401	3301.026	611.581	27.866	5.948	38.713	2.613	38.506	2.158
	"Mecklenburg County, NC"	"37119"	156369	3229.203	611.418	29.164	5.880	38.650	2.668	38.528	2.273
	"New Hanover County, NC"	"37129"	26474	3293.626	607.300	28.770	5.869	38.749	2.632	38.615	2.247
	"Onslow County, NC"	"37133"	47400	3329.735	590.422	25.555	5.056	39.125	2.723	38.655	2.164
	"Orange County, NC"	"37135"	14271	3325.324	600.458	30.414	5.862	38.912	2.538	38.727	2.167
	"Pitt County, NC"	"37147"	25591	3218.579	650.123	27.385	5.840	38.591	3.081	38.301	2.606
	"Randolph County, NC"	"37151"	18407	3278.270	611.055	26.714	5.917	38.666	2.616	38.434	2.159
	"Robeson County, NC"	"37155"	22578	3142.730	636.881	25.325	5.794	38.495	3.283	38.435	2.605
	"Rowan County, NC"	"37159"	18631	3227.486	618.306	26.507	5.780	38.610	2.808	38.388	2.286
	"Union County, NC"	"37179"	28457	3309.374	598.611	28.793	6.097	38.761	2.600	38.589	2.104
	"Wake County, NC"	"37183"	145150	3306.122	611.596	29.935	5.700	38.788	2.639	38.616	2.252
	"Wayne County, NC"	"37191"	19005	3279.533	633.388	26.324	5.681	38.856	2.880	38.545	2.420
	"Unidentified Counties, NC"	"37999"	418421	3240.183	619.307	26.551	5.859	38.624	2.856	38.403	2.300
	"Cass County, ND"	"38017"	27632	3355.529	586.233	28.647	5.098	38.813	2.359	38.649	2.058
	"Unidentified Counties, ND"	"38999"	91091	3350.887	580.907	27.454	5.317	38.682	2.405	38.524	2.018
	"Allen County, OH"	"39003"	15546	3238.492	601.475	26.296	5.552	38.393	2.804	38.378	2.146
	"Ashtabula County, OH"	"39007"	13690	3249.167	568.267	26.494	5.747	38.535	2.440	38.440	1.991
	"Butler County, OH"	"39017"	53908	3292.003	601.291	27.743	5.757	38.633	2.603	38.440	2.159
	"Clark County, OH"	"39023"	19482	3254.604	594.501	25.819	5.599	38.595	2.596	38.467	2.159
	"Clermont County, OH"	"39025"	28678	3331.586	597.468	27.829	5.714	38.793	2.527	38.543	2.082
	"Columbiana County, OH"	"39029"	13108	3280.624	578.810	26.517	5.622	38.629	2.489	38.372	2.013
	"Cuyahoga County, OH"	"39035"	177637	3184.104	630.399	27.896	6.079	38.431	2.880	38.312	2.526
	"Delaware County, OH"	"39041"	25765	3346.698	570.200	30.826	5.152	38.676	2.211	38.513	1.940
	"Fairfield County, OH"	"39045"	20007	3296.996	586.404	27.767	5.664	38.552	2.432	38.346	2.051
	"Franklin County, OH"	"39049"	212558	3242.419	616.641	28.288	5.812	38.512	2.706	38.423	2.353
	"Greene County, OH"	"39057"	21184	3318.309	597.964	28.056	5.633	38.635	2.454	38.443	2.094
	"Hamilton County, OH"	"39061"	127941	3228.158	628.790	27.893	5.860	38.505	2.774	38.327	2.394
	"Lake County, OH"	"39085"	27521	3283.890	571.908	28.717	5.641	38.606	2.318	38.451	1.981
	"Licking County, OH"	"39089"	23558	3311.971	600.771	27.433	5.699	38.638	2.524	38.501	2.179
	"Lorain County, OH"	"39093"	40080	3275.460	592.921	27.708	5.949	38.634	2.600	38.511	2.164
	"Lucas County, OH"	"39095"	68559	3219.747	607.257	26.851	5.746	38.485	2.641	38.366	2.272
	"Mahoning County, OH"	"39099"	29129	3182.376	605.020	27.242	5.892	38.356	2.621	38.143	2.251
	"Medina County, OH"	"39103"	21252	3330.873	575.120	29.429	5.464	38.696	2.319	38.535	1.962
	"Miami County, OH"	"39109"	5926	3351.626	572.350	27.619	5.431	38.764	2.320	38.585	1.959
	"Montgomery County, OH"	"39113"	80162	3245.026	620.474	27.051	5.689	38.467	2.697	38.317	2.311
	"Portage County, OH"	"39133"	17525	3313.129	601.831	28.121	5.683	38.757	2.522	38.578	2.143
	"Richland County, OH"	"39139"	17001	3254.052	594.721	26.135	5.636	38.584	2.533	38.430	2.128
	"Stark County, OH"	"39151"	49854	3269.100	610.076	27.154	5.644	38.655	2.606	38.447	2.213
	"Summit County, OH"	"39153"	73157	3254.150	614.636	27.928	5.824	38.560	2.669	38.403	2.297
	"Trumbull County, OH"	"39155"	25910	3236.368	593.796	26.818	5.777	38.528	2.528	38.457	2.167
	"Warren County, OH"	"39165"	29158	3338.215	583.167	29.357	5.465	38.681	2.345	38.488	1.975
	"Wayne County, OH"	"39169"	18235	3361.048	570.957	27.775	5.531	38.906	2.434	38.713	2.031
	"Wood County, OH"	"39173"	16061	3320.733	559.224	28.191	5.466	38.654	2.252	38.497	1.881
	"Unidentified Counties, OH"	"39999"	383089	3294.321	585.850	26.653	5.568	38.639	2.481	38.430	2.020
	"Canadian County, OK"	"40017"	8606	3328.493	585.153	28.202	5.334	38.547	2.454	38.361	2.035
	"Cleveland County, OK"	"40027"	34659	3293.626	575.915	27.691	5.449	38.462	2.386	38.347	2.018
	"Comanche County, OK"	"40031"	22739	3264.231	594.031	25.903	5.356	38.586	2.671	38.407	2.155
	"Oklahoma County, OK"	"40109"	139547	3233.122	596.202	27.048	5.804	38.451	2.664	38.344	2.197
	"Tulsa County, OK"	"40143"	109850	3250.287	596.763	27.163	5.791	38.316	2.572	38.189	2.169
	"Unidentified Counties, OK"	"40999"	303349	3270.050	583.937	25.810	5.530	38.495	2.558	38.295	2.051
	"Clackamas County, OR"	"41005"	47114	3385.928	569.907	29.148	5.682	38.959	2.262	38.819	1.896
	"Deschutes County, OR"	"41017"	21112	3309.162	541.470	28.769	5.818	38.836	2.132	38.816	1.835
	"Douglas County, OR"	"41019"	12905	3322.593	573.307	26.453	5.520	38.829	2.447	38.673	1.966
	"Jackson County, OR"	"41029"	27007	3349.896	567.832	27.403	5.774	38.877	2.371	38.671	1.956
	"Lane County, OR"	"41039"	41224	3363.043	578.734	28.083	5.703	38.898	2.289	38.722	1.958
	"Linn County, OR"	"41043"	17356	3378.711	583.164	27.100	5.552	38.951	2.374	38.742	1.965
	"Marion County, OR"	"41047"	53526	3382.210	581.001	27.407	5.891	39.008	2.494	38.825	2.022
	"Multnomah County, OR"	"41051"	110257	3353.501	580.268	29.814	6.034	38.912	2.311	38.855	2.032
	"Washington County, OR"	"41067"	83001	3361.867	571.005	29.577	5.610	38.881	2.221	38.889	1.949
	"Unidentified Counties, OR"	"41999"	121331	3356.075	581.422	27.331	5.789	38.919	2.422	38.750	2.003
	"Adams County, PA"	"42001"	4745	3326.257	597.608	28.153	5.501	38.816	2.337	38.597	2.053
	"Allegheny County, PA"	"42003"	155088	3274.630	594.274	29.206	5.673	38.684	2.457	38.574	2.206
	"Beaver County, PA"	"42007"	20204	3319.208	601.818	28.017	5.607	38.808	2.430	38.662	2.156
	"Berks County, PA"	"42011"	52410	3294.178	607.687	27.743	5.892	38.799	2.530	38.611	2.226
	"Blair County, PA"	"42013"	16103	3303.465	572.578	27.115	5.617	38.871	2.377	38.653	1.987
	"Bucks County, PA"	"42017"	70485	3327.598	602.926	30.345	5.421	38.725	2.347	38.613	2.075
	"Butler County, PA"	"42019"	21695	3342.583	568.739	29.359	5.493	38.821	2.278	38.629	1.954
	"Cambria County, PA"	"42021"	16157	3222.638	573.149	27.346	5.567	38.663	2.413	38.392	1.951
	"Centre County, PA"	"42027"	14875	3359.003	580.612	29.478	5.341	38.978	2.373	38.886	2.041
	"Chester County, PA"	"42029"	65118	3359.542	589.772	30.577	5.537	38.864	2.299	38.717	2.025
	"Cumberland County, PA"	"42041"	29990	3357.736	592.342	28.821	5.514	38.908	2.362	38.740	2.030
	"Dauphin County, PA"	"42043"	39936	3261.091	622.873	27.754	5.850	38.667	2.671	38.510	2.298
	"Delaware County, PA"	"42045"	76704	3288.160	622.938	29.659	5.843	38.662	2.536	38.600	2.292
	"Erie County, PA"	"42049"	37677	3248.996	589.946	27.233	5.808	38.547	2.528	38.334	2.121
	"Fayette County, PA"	"42051"	16354	3218.935	591.660	26.591	5.752	38.526	2.554	38.306	2.161
	"Franklin County, PA"	"42055"	21411	3324.566	587.524	27.414	5.623	38.771	2.386	38.582	2.007
	"Lackawanna County, PA"	"42069"	25394	3279.821	608.644	28.341	5.860	38.642	2.577	38.465	2.189
	"Lancaster County, PA"	"42071"	83182	3362.567	596.155	28.157	5.638	38.888	2.421	38.716	2.116
	"Lebanon County, PA"	"42075"	18824	3308.894	590.932	27.586	5.671	38.703	2.481	38.590	2.110
	"Lehigh County, PA"	"42077"	43750	3276.524	601.085	28.313	5.915	38.753	2.574	38.603	2.228
	"Luzerne County, PA"	"42079"	33969	3275.073	593.719	27.765	5.880	38.693	2.526	38.526	2.115
	"Lycoming County, PA"	"42081"	14895	3307.121	598.107	27.109	5.536	38.782	2.492	38.552	2.162
	"Mercer County, PA"	"42085"	13729	3271.068	581.263	27.241	5.751	38.694	2.466	38.494	2.111
	"Monroe County, PA"	"42089"	16648	3262.443	609.744	28.605	6.067	38.646	2.641	38.534	2.276
	"Montgomery County, PA"	"42091"	104350	3326.221	589.749	30.625	5.355	38.846	2.360	38.728	2.073
	"Northampton County, PA"	"42095"	33338	3276.730	602.259	28.944	5.803	38.682	2.512	38.613	2.186
	"Philadelphia County, PA"	"42101"	248196	3172.383	629.454	27.426	6.137	38.449	2.764	38.388	2.468
	"Schuylkill County, PA"	"42107"	16298	3291.478	589.287	27.394	5.667	38.692	2.476	38.505	2.057
	"Washington County, PA"	"42125"	24045	3298.257	582.180	28.548	5.684	38.754	2.391	38.599	2.070
	"Westmoreland County, PA"	"42129"	37416	3300.158	580.709	28.603	5.612	38.745	2.396	38.568	2.087
	"York County, PA"	"42133"	58476	3307.334	614.934	27.855	5.703	38.760	2.603	38.584	2.248
	"Unidentified Counties, PA"	"42999"	207734	3312.643	592.206	27.214	5.634	38.846	2.450	38.647	2.068
	"Kent County, RI"	"44003"	17001	3343.313	589.929	29.534	5.574	38.870	2.387	38.626	2.056
	"Providence County, RI"	"44007"	67934	3271.553	609.266	28.508	5.998	38.749	2.624	38.532	2.264
	"Washington County, RI"	"44009"	10552	3370.480	573.204	30.118	5.722	38.926	2.252	38.695	1.979
	"Unidentified Counties, RI"	"44999"	11868	3356.716	574.895	30.421	5.808	38.953	2.352	38.779	2.017
	"Aiken County, SC"	"45003"	21540	3220.279	593.654	26.696	5.777	38.468	2.488	38.319	2.079
	"Anderson County, SC"	"45007"	27140	3241.037	602.125	26.449	5.783	38.528	2.661	38.352	2.185
	"Beaufort County, SC"	"45013"	23172	3235.716	581.794	27.437	5.797	38.469	2.534	38.361	2.062
	"Berkeley County, SC"	"45015"	30333	3267.839	605.109	27.295	5.663	38.572	2.610	38.364	2.137
	"Charleston County, SC"	"45019"	56893	3226.479	602.168	28.698	5.863	38.455	2.581	38.353	2.184
	"Dorchester County, SC"	"45035"	8955	3282.701	588.647	28.297	5.510	38.644	2.558	38.429	2.053
	"Florence County, SC"	"45041"	21250	3125.078	654.015	26.672	5.858	38.123	3.080	38.074	2.563
	"Greenville County, SC"	"45045"	72849	3268.156	605.483	27.970	5.872	38.592	2.672	38.454	2.176
	"Horry County, SC"	"45051"	36169	3213.908	600.546	27.241	5.843	38.313	2.619	38.202	2.189
	"Lexington County, SC"	"45063"	38430	3269.884	608.030	27.571	5.794	38.335	2.491	38.301	2.142
	"Pickens County, SC"	"45077"	14541	3287.671	598.227	26.591	5.736	38.667	2.692	38.494	2.140
	"Richland County, SC"	"45079"	56947	3162.536	620.677	27.868	5.888	38.204	2.744	38.105	2.302
	"Spartanburg County, SC"	"45083"	43548	3237.285	604.242	26.651	5.795	38.443	2.550	38.312	2.128
	"Sumter County, SC"	"45085"	17423	3189.858	619.775	26.185	5.582	38.376	2.775	38.210	2.267
	"York County, SC"	"45091"	34744	3277.138	607.001	27.924	5.985	38.666	2.640	38.478	2.162
	"Unidentified Counties, SC"	"45999"	177393	3158.713	624.288	26.030	5.785	38.293	2.870	38.166	2.349
	"Minnehaha County, SD"	"46099"	33262	3333.229	574.283	28.042	5.381	38.676	2.438	38.729	2.052
